trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
14,False,"{'a': 0.8, 'e': 0.5}",20,0,-60.952438650749464,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.8, 'e': 0.5}",20,0,-9.537102916240105,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.8, 'e': 0.5}",25,4,-64.62431971110766,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 0}",1
17,False,"{'a': 0.56448, 'e': 0.45}",25,19,-10.01973486239013,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.04608, 'e': 0.405}",20,0,6.302084280132866,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.8, 'e': 0.5}",25,11,-23.45882940190667,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.25088, 'e': 0.45}",20,8,-9.490028272785999,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.28800000000000003, 'e': 0.405}",25,7,-78.5674690899133,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
22,False,"{'a': 0.41472, 'e': 0.36450000000000005}",20,9,19.65931487668139,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.24200000000000002, 'e': 0.32805000000000006}",30,19,-70.7232225326919,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 2}",1
24,False,"{'a': 0.10755555555555557, 'e': 0.29524500000000004}",20,15,3.6193655377998355,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.05, 'e': 0.2657205}",20,0,22.963560803277225,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.8, 'e': 0.5}",20,13,-11.375956292720957,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
27,False,"{'a': 0.098, 'e': 0.45}",25,7,32.81746277226794,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.41472, 'e': 0.405}",30,18,1.8311358229026888,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
